,JAN 2010 r,FEB 2010 r,MAR 2010 r,APR 2010 r,MAY 2010 r,JUN 2010 r,JUL 2010 r,AUG 2010 r,SEP 2010 r,OCT 2010 r,NOV 2010 r,DEC 2010 r,JAN 2011 r,FEB 2011 r,MAR 2011 r,APR 2011 r,MAY 2011 r,JUN 2011 r,JUL 2011 r,AUG 2011 r,SEP 2011 r,OCT 2011 r,NOV 2011 r,DEC 2011 r,JAN 2012 r,FEB 2012 r,MAR 2012 r,APR 2012 r,MAY 2012 r,JUN 2012 r,JUL 2012 r,AUG 2012 r,SEP 2012 r,OCT 2012 r,NOV 2012 r,DEC 2012 r,JAN 2013 r,FEB 2013 r,MAR 2013 r,APR 2013 r,MAY 2013 r,JUN 2013 r,JUL 2013 r,AUG 2013 r,SEP 2013 r,OCT 2013 r,NOV 2013 r,DEC 2013 r,JAN 2014 r,FEB 2014 r,MAR 2014 r,APR 2014 r,MAY 2014 r,JUN 2014 r,JUL 2014 r,AUG 2014 r,SEP 2014 r,OCT 2014 r,NOV 2014 r,DEC 2014 r,JAN 2015 r,FEB 2015 r,MAR 2015 r,APR 2015 r,MAY 2015 r,JUN 2015 r,JUL 2015 r,AUG 2015 r,SEP 2015 r,OCT 2015 r,NOV 2015 r,DEC 2015 r,JAN 2016 r,FEB 2016 r,MAR 2016 r,APR 2016 r,MAY 2016 r,JUN 2016 r,JUL 2016 r,AUG 2016 r,SEP 2016 r,OCT 2016 r,NOV 2016 r,DEC 2016 r,JAN 2017 r,FEB 2017 r,MAR 2017 r,APR 2017 r,MAY 2017 r,JUN 2017 r,JUL 2017 r,AUG 2017 r,SEP 2017 r,OCT 2017 r,NOV 2017 r,DEC 2017 r,JAN 2018 r,FEB 2018 r,MAR 2018 r,APR 2018 r,MAY 2018 r,JUN 2018 r,JUL 2018 r,AUG 2018 r,SEP 2018 r,OCT 2018 r,NOV 2018 r,DEC 2018 r,JAN 2019 r,FEB 2019 r,MAR 2019 r,APR 2019 r,MAY 2019 r,JUN 2019 r,JUL 2019 r,AUG 2019 r,SEP 2019 r,OCT 2019 r,NOV 2019 r,DEC 2019 r,JAN 2020 r,FEB 2020 r,MAR 2020 r,APR 2020 r,MAY 2020 r,JUN 2020 r,JUL 2020 r,AUG 2020 r,SEP 2020 r,OCT 2020 r,NOV 2020 r,DEC 2020 r,JAN 2021 r,FEB 2021 r,MAR 2021 r,APR 2021 r,MAY 2021 r,JUN 2021 r,JUL 2021 r,AUG 2021 r,SEP 2021 r,OCT 2021 r,NOV 2021 r,DEC 2021 r,JAN 2022 r,FEB 2022 r,MAR 2022 r,APR 2022 r,MAY 2022 r,JUN 2022 r,JUL 2022 r,AUG 2022 r,SEP 2022 r,OCT 2022 r,NOV 2022 r,DEC 2022 r,JAN 2023 r,FEB 2023 r,MAR 2023 r,APR 2023 r,MAY 2023 r,JUN 2023 r,JUL 2023 r,AUG 2023 r,SEP 2023 r,OCT 2023 r,NOV 2023 r,DEC 2023 r,JAN 2024 r,FEB 2024 r,MAR 2024 r,APR 2024 p
(% change from the previous month),n.a.,-1.17,1.47,2.23,-0.74,2.6,-2.09,-0.25,0.99,-0.61,2.74,-2.55,-0.45,-0.31,1.51,-1.75,-0.93,1.28,0.65,0.99,1.23,-5.28,-3.49,6.08,4.35,3.53,-1.34,0.64,2.66,-0.88,1.23,0.3,0.84,0.18,-0.22,-0.35,2.26,-1.24,0.66,-1.21,0.41,-1.41,1.28,0.87,-1.2,0.49,-0.96,0,0.18,-0.01,0.87,0.95,1.11,-0.17,0.28,-0.32,-0.27,0.16,-0.53,0.96,0.38,-0.6,0.65,-0.38,-0.74,1.08,0.44,-0.03,1.59,0.06,0.78,0.64,-0.5,0.64,1.46,-0.93,0.4,0,0.08,0.64,0.65,-1.25,1.15,0.8,-1.5,1.72,1.53,-2.48,1.48,-0.04,-1.13,0.68,1.94,-1.33,3.03,2.38,-2.89,0.44,-0.27,3.79,0,-1.67,0.17,0.59,-0.43,1.21,-0.4,0.93,1.14,-0.47,0.16,1.77,1,-2.69,-1.44,-0.61,-1.06,3.25,-1.74,0.47,2.52,0.44,-4.28,-9.79,6.44,4.86,2.27,-0.13,2.49,-0.55,0.51,0.27,-6.22,2.65,3.07,-3.75,-3.34,2.44,-4.26,-1.7,6.19,3.07,1.4,3.88,-1.59,-0.6,-0.7,2.95,1.05,0.33,-0.05,0.26,0.71,0.07,0.61,1.32,1.3,-0.04,1.24,0.23,1.09,-0.79,0.79,-0.23,-1.08,0.82,0.56,-0.16,0.45,-0.09,-0.84,1.6
   Non-durables Index (Seasonally Adjusted) 2/,98.13,98.72,98.79,99.45,98.95,100.55,100.53,98.96,101.07,101.69,101.42,101.67,100.19,100.06,99.75,100.27,100.2,101.25,101.27,101.24,102.27,100.16,95.92,99.77,102.44,105.72,104.08,103.61,105.4,104.22,103.79,105.37,105.07,106.28,107.24,107.9,107.3,106.84,107.66,107.51,108.51,107.42,107.59,109.14,107.45,108.63,108.49,107.2,108.96,108.4,110.78,110.7,110.73,110.35,111.75,111.78,112.63,113.34,112.17,113.21,113.15,112.22,113.98,114.56,115.28,115.75,115.95,115.48,115.75,116.24,117.39,117.81,118.47,119.8,117.78,119.76,120.12,119.02,118.29,119.6,118.53,117.95,117.31,119.66,120.78,120.27,121.63,120.87,120.81,122.09,121.73,122.81,124.76,122.52,121.68,122.31,121.94,122.68,123.72,122.78,122.18,123.26,123.38,124.61,123.82,125.07,124.72,126.35,126.71,126.66,126.02,126.28,127.83,126.54,126.31,126.96,124.48,129.59,126.8,124.71,127.77,128.01,127.11,112.68,120.01,123.47,126.86,125.79,128.42,125.72,124.64,124.98,118.06,125.07,127.09,119.28,116.24,120.08,113.24,112.58,116.33,117.72,118.59,122.41,120.57,118.78,120.34,121.34,120.01,121.66,121.27,121.18,122.08,121.04,121.6,122.38,122.87,122.73,122.45,123.42,125.59,123.96,123.95,124.65,123.33,124.87,125.45,125.49,127.74,130.26,126.03,128.76
     Sales of Benzene Gasohol and Diesel Index (Seasonally Adjusted),96.55,99.91,98.64,98.09,97.11,100.91,102.75,99.02,101.71,99.93,105.18,100.15,102.3,99.98,98.37,102.38,100.82,102.5,98.19,103.47,102.28,94.73,91.29,101.87,104.2,107.17,105.12,103.15,106.32,107.44,104.18,107.46,106.01,111.8,114.41,115.19,116.48,110.72,117.54,116.75,120.87,113.41,115.9,118.21,111.13,116.7,115.95,110.84,114.82,112.81,117.42,119.15,120.42,114.21,120.2,122,125.59,124.5,121.81,129.2,134.03,132.38,132.32,137.17,137.08,134.3,139.58,139.35,140.47,143.52,140.83,147.81,149.74,158.6,151.29,156.23,156.22,159.61,153.37,161.96,157.09,149.87,153.88,157.41,156,155.85,164.6,157.98,164.39,164.85,160.44,164.58,168.2,162.78,153.68,162.16,166.86,170.38,170.43,168.93,166.37,167.44,163.08,169.33,163.66,168.46,165.86,173.14,174.46,173.92,177.66,176.93,178.31,176.22,174.73,175.91,169.76,183.07,170.43,172.66,175.49,180.15,161.4,123.92,156.68,170.25,188.97,184.41,192.9,180.59,177.81,177.1,144.67,176.02,187.94,155.83,139.68,153.54,125.48,123.51,138.98,151.19,158.04,180.09,167.88,162.65,154.36,168.68,166.54,163.74,157.97,160.83,166.31,162.86,161.71,171.47,170.84,171.62,173.14,167.06,176.82,173.07,166.63,167.37,162.82,167.74,169.85,170.87,176.81,180.04,173,181.07
     Household electricity consumption Index (Seasonally Adjusted),100.26,99.48,99.49,101.62,105.7,103.24,101.03,96.79,97.86,98.27,94.15,102.06,95.98,96.51,93.74,88.98,95.84,99.89,102.01,102.25,103.57,98.14,103.9,106.25,108.94,114.32,110.98,107.57,108.06,104.9,105.88,106.37,106.01,110.09,116.6,121.13,115.6,117.21,114.15,116.2,114.4,112.12,111.43,114.42,113.31,112.94,112.38,108.2,102.7,109.36,114.02,117.02,120.35,123.42,121.25,118.78,118.69,120.27,119.92,119.92,110.88,116.84,121.31,117.9,122.91,130.92,129.1,124.33,126.77,125.65,130.94,134.11,133.54,127.77,128.12,137.19,141.24,130.91,127.72,133.8,133.23,131.67,131.01,130.51,135.51,131.39,132.83,130.8,129.79,131.6,131.72,137.35,141.14,136.69,133.85,134.07,130.31,135.05,134.96,129.79,127.92,134.12,135.92,135.07,137.35,145.14,145.92,147.8,150.65,151.4,149.69,153.47,152.54,144.24,146.88,144.51,143.23,151.31,151.88,139.77,164.66,159.76,156.02,162.47,167.92,163.36,161.61,156.8,166.75,148.5,148.69,152.72,149.34,153.03,159.09,158.33,160.63,170.87,169.28,173.31,169.54,172.06,169.15,155.04,172.49,169.58,166.13,158.2,151.18,159.2,160.79,161.25,163.38,157.69,165.67,164.96,156.49,159.58,156.43,183.42,179.68,173.93,174.93,176.36,177.49,181.22,180.59,183.02,186.92,191.14,191.9,198.42
   Semi-durables Index (Seasonally Adjusted) 3/,98.41,99.15,98.78,99.62,98.18,101.68,100.06,101.04,101.62,99.77,103.19,98.45,98.42,97.63,101.09,99.02,99.78,101.45,99.7,102.4,102.59,96.66,97.97,102.12,100.6,106.14,104.96,103.63,106.47,104.16,105.78,104.95,104.04,106.36,106.29,103.28,105.26,104.71,104.6,105.46,107.07,103.64,105.96,105.6,105.04,105.25,104.23,103.34,105.62,104.72,104.93,105.23,104.92,104.27,105.8,103.55,106.26,106.21,104.56,105.26,104.7,107.04,104.78,105.43,104.38,106.08,106.38,105.19,105.95,105.39,105.89,107.95,104.56,106.72,107.23,106.84,106.07,106.9,106.38,107.71,106.99,107.04,107.97,108.27,104.69,106.91,108.63,105.29,107.67,108.34,107.09,109.78,107.69,107.24,109.06,108.77,109.5,109.87,108.8,108.84,110.13,110.45,110.67,111.92,110.73,113.58,112.78,110.82,112.39,110.31,110.46,111.15,111.13,110.7,113.41,111.13,111.5,112.15,111.19,111.4,112.78,107.13,107.52,105.08,102.43,106.24,107.18,106.38,108.45,107.94,108.51,110.36,109.79,113.14,111.32,111.43,111.06,111.09,109.46,108.69,110.28,110.82,110.15,111.7,111.32,111.07,112.03,112.07,112.58,112.46,111.8,113.05,112.31,110.5,112.62,111.48,111.11,112.23,113.25,110.19,113.55,111.59,112.15,112.83,111.88,112.3,112.04,111.51,111.74,112.7,110.59,111.67
     Sales of semi-durables Index (Seasonally Adjusted),91,91.4,105.9,89.67,97.16,107.12,105.64,107.06,107.39,104.63,108.16,84.81,81.25,80.13,91.87,73.84,79.19,87.39,84.2,89.84,89.17,71.01,70.12,84.15,86.01,91.89,99.26,83.08,101.02,99.32,100.62,99.62,96.78,97.53,98.8,95.84,98.91,92.1,104.36,86.79,100.24,97.21,98.53,97.38,96.85,93.92,93.81,94.66,91.29,92.48,101.07,84.72,93.99,93.33,93.35,89.27,91.96,90.98,90.08,94.91,88.9,89.69,103.86,84.08,93.64,95.31,96.44,91.45,93.84,92.7,91.86,100.48,89.19,92.18,106.42,86.52,96.73,94.74,90.31,94.03,94.06,90.08,94.42,98.42,90.27,90.1,104.32,81.4,96.08,97.15,92.36,98.12,99.05,93.64,99.42,101.61,98.94,95.94,110.38,88.54,102.37,103.54,100.68,105.77,100.19,102.21,104.96,104.31,104.51,100,113.4,95.01,105.87,105.13,105.67,103.16,99.64,100.1,98.94,99.43,96.74,95.26,95.2,72.92,80.55,89.42,83.27,88.91,93.48,90.54,93.85,98.05,92.71,109.45,110.29,91.03,100.15,100.35,89.57,89.18,97.13,98.42,99.61,105.15,100.88,100.35,112.51,96.07,101.21,101.8,97.41,106.12,105.13,101.67,106.16,102.73,104.04,102.41,116.58,91.77,107.45,105.71,103.44,104.86,105.47,101.32,100.83,100.53,101.32,97.99,105.48,105.61
     Import of textiles Index (Seasonally Adjusted),99.77,100.64,90.2,95.93,89.44,104,94.32,98.29,101.59,95.32,122.82,107.61,111.1,103.88,121.88,112.51,121.2,126.62,115.01,128.4,130.65,109.07,125.52,142.43,121.31,159.65,148.49,137.26,144.83,133.92,143.56,136.75,131.61,147.94,149.9,132.05,143.49,141.51,136.39,147.91,154.2,132.89,146.58,147.88,141.2,141.65,136.59,134.53,161.06,141.15,146.66,147.39,143.96,145.06,152.38,139.84,162.89,159.49,146.72,152.54,154.56,171.47,140.83,150.22,142.7,158.46,153.33,152.79,154.37,147.8,157.63,170.7,150.98,162.07,164.63,163.01,158.05,166.72,165.86,175.61,167.39,174.56,175.29,177.3,148.67,169.97,186.55,157.7,179.25,179.81,168.81,192.98,166.44,169.79,177.73,176.33,183.32,196.38,176.03,185.53,197.43,195.26,192.97,206.65,202.66,233.93,215.97,196.98,206.77,193.6,191.5,201.78,204.37,195.43,217.92,203.46,213.56,216.69,209,214.84,230.46,159.97,186.34,169.93,136.43,166.46,176.52,168.38,180.71,176.33,182.71,199.28,194.57,203.41,201.21,201.8,191.23,202.25,191.33,195.92,196.61,196.89,191.08,199.08,198.4,193.49,204.76,198.35,211.84,218.25,205.37,211.13,206.83,184.34,209.04,200.83,189.15,204.91,213.41,183.3,211.41,193.71,195.88,208.42,200.23,209.19,210.93,207.59,204.23,222.79,200.38,212.81
   Durables Index (Seasonally Adjusted) 4/,94.26,93.52,91.22,100.34,96.38,102.72,100.95,102.64,102.79,103.9,105.98,105.24,110.62,111.99,114.67,110.58,96.04,106.95,108.69,116.26,118.61,88.7,75.77,89.93,120.48,127.83,129.35,135.72,151.89,151.27,160.4,158.18,159.92,165.98,168.05,146.28,169.07,165.17,167.78,154.54,148.95,140.67,140.79,142.6,135.24,131.13,128.97,126.84,117.84,119.45,117.51,125.83,116.31,117.8,119.3,115.72,114.3,116.41,113.73,113.35,115.42,114.78,115.42,109.79,107.47,108.42,109.55,106.87,111.8,119.64,115.92,118.88,112.3,108.81,113.59,109.68,117.68,117.05,114.13,117.03,115.88,112.09,113.22,114.8,116.65,123.04,122.79,120.16,121.77,121.5,119.83,119.11,125.78,123.1,128.76,129.42,127.34,128.14,128.47,132,134.21,134.45,133.18,135.45,133.6,135.96,137.85,132.87,134.07,134.82,134.79,137.9,135.47,130.38,134.41,129.79,131.3,127.78,122.47,120.49,126.74,122.4,103.19,80.25,89.69,103.78,118.73,123.35,123.63,128.9,123.56,136.47,116.27,119.67,130.57,122.87,113.96,123.49,112.12,96.3,124.14,125.55,132.73,138.5,136.4,138.3,136.07,131.63,131.17,129.82,130.95,135.44,137.2,129.28,133.07,131.55,136.7,144.2,141.29,134.31,141.54,136.38,135.76,134.16,133.83,135.27,133.57,126.13,134.13,128.91,122.3,126.79
     Sales of Commercial cars (Units) (Seasonally Adjusted),31521.6,31794.86,31984.45,30197.02,33610.7,36095.72,35403.54,36111.12,35644.32,35767.38,39012.29,37074.3,39359.92,42808.07,40484.79,36052.31,31454.82,36941.7,39951.23,42539.99,45645.53,20707.53,9511.43,18641.26,51110.89,56945.84,56340.08,49182.93,59755.61,61819.21,66245.01,67507.92,63175.8,64475.55,59998.28,50179.68,65225.05,60102.33,60824.05,61210.68,56650.12,52486.11,47051.88,45597.16,45200.61,42438.59,45313.78,43063.13,41236.5,38065.61,37333.79,39630.24,37570.31,37293.62,36958.03,35538.44,36080.69,36579.48,35032.02,33228.05,34291.61,33724.24,31113.13,24085.2,26786.01,30951.09,30992.72,34931.97,28091.05,27681.86,39809.55,42245.02,29020.07,28761.2,28026.27,26786.88,32140.41,29730.5,28174.68,28755.71,29198.68,28574.74,29643.06,31771.56,31641.57,32936.71,32866.74,31290.89,30707.32,28727.9,30685.26,32099.22,37943.41,28989.34,32094.03,34247.82,34176.26,36541.86,38135.56,39124.55,39131.1,38759.41,37931.17,38335.04,41044.9,39729.51,41464.31,41648.35,41832.83,38331.41,41014.86,42453.96,42947.11,38012.55,38457.12,35971.3,32201.38,34168,35083.32,32924.26,36110.52,32571.11,25570.54,18402.27,22958.78,28449.54,33050.07,35423.53,36820.76,36911.5,35118.11,37216.44,29886.04,27912.09,29796.63,32139.74,30690.71,30584.75,28017.79,20728.07,28949.35,31009.09,31941.61,31290.55,34582.76,37419.73,37630.98,34295.47,32643.45,34671.72,33056.4,32473.17,36852.42,31809.78,28693.64,30553.21,31376.81,28996.39,27954.81,25842.94,25584.12,23638.51,23193.25,21759.71,20859.72,19550.09,18385.16,17236.06,17826.51,16943.3,15719.93,16923.73
     Sales of Passenger cars (Units) (Seasonally Adjusted),25537.46,25934.4,22641.77,32296.98,28843.22,32672.37,31411.28,31615.23,32295.21,33244.76,33667.01,31570.17,37824.5,37944.89,40778.99,38435.58,24654.69,31649.33,34167.34,39022.43,41710.14,20688.23,14090.49,21942.13,34639.75,37278.51,39459.12,47488.4,59062.05,59617.76,67728.7,65395.88,69232.15,74383.91,77932.15,56730.15,75350.25,73827.72,76664.73,58250.16,56673.43,50603.54,50830.29,54835.37,48267.12,43950.14,41558.68,41298.04,35773.04,35840.12,35200.07,39909.15,33740.69,35737.05,33718.29,33460.15,31864.71,32927.88,32783.55,32262.93,33633.13,32375.55,32088.93,33470.63,30546.22,27601.06,30933.53,26914.32,32465.84,39685.66,31942.73,32537.63,30192.43,30124.49,32754.26,31272.01,34679.97,33977.46,33784.05,34076.01,32857.08,31612.88,31242.45,32122.83,33901.71,38182.38,38287.62,36031.82,35999.95,38482.06,36326.34,35762.5,38438.34,39864.59,42395.86,43941.79,41735.1,42150.57,41984.03,45028.89,46763.56,46825.36,46789.73,47977.63,46207.47,47726.08,49138.11,43745.77,45778.23,47581.6,46394.63,49925.99,46999.33,45609.19,45685.31,44089.51,47000,41137.23,37758.75,38399.83,40690.55,38277.41,24553.6,13776.97,18315.09,23487.76,28677.74,32889.6,32036.39,36778.49,34607.29,43028.91,28218.6,31829.52,37337.85,30500.48,26337.51,32304.3,26131.78,19858.36,32917.04,32213.45,34746.6,38541.42,37515.54,37318,36690.5,34514.89,33363.5,31233.65,33787.89,34967.96,35173.04,31860.4,35012.77,33032.59,36888.8,43047.48,40427.23,38614.79,41280.87,39149.56,38287.13,38086.78,38429.26,39632.12,39243.56,34277.67,39309.21,36379.55,32718.63,34493.22
     Sales of Motorcycles (Units) (Seasonally Adjusted),168523.98,157453.99,166686.51,162984.76,147329.62,160897.56,158265.5,169583.63,166241.25,167527.31,172726.07,191078.61,177296.91,178420.98,186203.01,181094.61,180758.99,194594.65,178153.42,196831.18,185465.32,159456.08,155412.31,151828.49,163911.09,186229.16,182196.52,190647.15,205506.39,187406.54,192139.51,185958.47,182947.32,195631.58,199818.77,188028.44,193555.2,182100.33,181301.73,207734.71,180597.8,168290.02,184753.08,169737.73,161258.59,171883.13,165212.09,155927.83,133276.44,156255.32,148172.26,166968.53,147293.96,142178.61,174191.99,151189.27,152439.51,158180.51,142482.38,149931.19,150702.39,158833.35,175013.89,138820.3,138643.51,159732.3,137894.53,140996.05,150233.22,147876.81,149053.19,159913.12,169283.68,142989.52,158468.65,144738.04,158904.8,167875.34,150884.2,169578.9,169975.84,152763.02,161681.6,159302.91,158246.36,166711.25,163835.29,167560.18,183043.57,164379.05,163985.53,158708.55,170102.35,162985.66,177220.6,161802.52,164317.06,159735.06,158987.6,158293.05,161702.34,164437.58,156161.95,163987.42,155006.05,166127.16,164439.28,168495.65,159802.82,161146.68,163173.24,153691.93,157125.01,140472.17,173240.09,155017.73,153479.48,170334.85,153131.25,137795.57,157765.73,154506.03,144127.8,99607.19,98965.53,122563.41,162741.06,150798.87,156312.25,152667.77,136526.47,150756.54,146904.68,144425.82,167258.86,163324.93,140511.01,152740.17,134063.01,106481.92,130612.57,140311.08,164834.92,174380.7,157394.65,164314.92,152590.09,150249.44,162777.25,166033.9,155930.65,179435.78,176538.64,164062.77,172206.53,173376.64,172594.46,179374.25,184397.44,155046.67,184217.34,170998.9,175805.21,170459.68,167830.26,171443.9,166277.77,161457.95,169281.43,161115.58,151929.26,162408.34
   Services Index (Seasonally Adjusted) 5/,99.25,99.02,99.2,98.48,95.34,99.34,99.82,99.75,101.49,100.3,105.87,102.1,102.67,103.78,105.1,103.89,104.22,104.27,105.52,106.31,108.3,102.02,96.16,105.86,108.45,110.17,110.43,111.65,112.93,113.27,114.17,114.45,115.66,115.82,115.07,118.03,119.24,119.95,120.92,121.72,122.89,123.11,122.99,124.87,125.22,125.61,124.69,124.38,123.95,122.43,122.35,124.5,126.84,122.22,125.34,126.97,127.55,131.44,131.28,133.94,132.73,132.86,132.95,134.17,134.26,135.83,136.12,136.56,137.24,137.43,138.21,140.04,141.17,143.56,147.44,144.35,145.18,144.66,148.51,148.15,151.03,144.3,144.2,147.7,149.75,150.68,152.9,151.72,154.44,155.64,155.26,156.89,159.74,156.33,160.94,170.21,162.04,162.55,161.73,163.38,164.76,164.97,165.58,165.53,165.15,164.91,165.72,168.22,169.64,168.24,166.3,169,168.1,168.29,168.55,170.23,169.16,172.05,170.01,172.45,171.47,153.9,129.84,114.92,122.51,128.09,127.41,127.48,131.89,133.06,135.84,133.13,125,124.34,130.35,129.11,124.1,125.16,121.28,119.14,128.19,135.65,138.46,146.5,145.69,144.88,142.39,150.7,157.16,159.47,161.33,163.39,165.47,169.35,170.47,175.74,179.01,180.17,182.79,187.1,187.26,187.2,190.16,190.65,190.96,189.54,189.75,190.94,193.3,195.68,193.63,198.5
     Sales of passenger transportations Index (Seasonally Adjusted),98.23,98.42,101.2,96.35,94.94,97.1,97.23,95.47,99.72,97.65,105.36,118.26,123.76,122.83,127.36,124.2,121.65,126.71,124.26,127.59,137.56,118.75,109.07,119.94,123.72,133.44,131.98,134.71,139.65,135.81,140.1,142.2,147.77,148.43,148.91,138.62,151.06,150.13,151.72,155.65,160.81,161.09,160.27,163.08,160.31,162.97,159.18,151.32,151.35,151.29,146.28,153.23,150.9,146.97,155.06,151.31,159.45,166.91,166.39,171.46,168.23,160.38,164.65,173,159.76,168.27,169.8,171.1,170.91,169.4,175.68,178.39,179.36,187.86,213.55,185.33,181.57,188.93,188.21,194.52,209.79,172.5,182.51,189.8,193.7,197.31,205.72,196.21,208.25,204.58,205.63,213.34,217.77,200.69,224.94,219.31,227.5,228.83,218.84,229.03,227.57,233.56,224.63,221.8,217.02,219.81,226.24,224.35,239.66,223.45,228.85,230.2,220.5,208.24,215.79,208.32,209.03,212.79,210.57,224.1,217.04,149.08,97.69,61.18,60.75,71.1,64.45,71.3,72.78,72.94,86.47,78.33,67.95,73.68,86.63,65.96,63.97,78.13,77.78,72.15,86.37,89.75,94.37,96.39,83.31,89.05,87.98,89.85,92.5,99.8,98.5,100.67,109.49,111.49,113.33,115.82,116.92,118.43,120.21,120.35,121.24,121.97,122.99,122.9,123.75,123.88,124.29,125.03,126.61,127.87,127.19,129
     Sales of hotel and restaurant Index (Seasonally Adjusted),99.27,96.35,94.32,94.99,81.05,94.58,95.66,96.78,100.7,103.25,158.69,84.31,84.56,87.9,89.96,86.99,87.62,84.18,89.75,90.42,90.95,82.41,75.42,87.16,94.98,94.86,96.59,98.86,99.11,100.91,102.34,101.56,101.3,103.01,104.68,109.18,108.5,110.12,113.16,113.43,113.03,112.85,113.25,117.22,117.49,119.19,120.13,114.68,114.17,106.88,109.12,112.91,120.02,104.46,112.38,117.96,113.54,125.95,125.69,128.25,125.6,127.6,126.01,125.75,130.02,129.23,131.64,129.85,129.79,133.11,131.84,135.02,138.16,140.24,141.99,143.88,145.63,137.88,154.95,146.99,147.36,143.09,135.78,144.96,148.79,148.38,152.17,151.62,151.47,156.57,156.13,155.16,160.96,158.44,162.39,203.25,163.14,162.71,165.44,164.24,164.63,162.45,169.84,167.16,165.38,164.77,163.94,169.95,168.9,169.31,163.02,167.88,161.92,170.49,167.25,173.59,166.89,177.84,171.97,169.81,168.36,131.42,65.34,24.26,38.38,65.03,65.16,57.41,75.49,76.5,83.99,71.32,45.35,61.38,64.47,34.02,31.83,47.63,36.33,35.61,49.2,62.15,76.11,80.94,64.33,82.11,81.91,90.39,93.94,94.62,99.25,101.77,112.09,120.39,127.25,128.35,129.58,134.12,144.71,146.35,146.65,146.43,148.44,148.96,149.73,149.06,149.37,152.56,153.33,158.11,157.36,158.71
   Non-residents expenditure Index (Seasonally Adjusted) 6/,104.16,123.24,101.24,80.27,60.92,71.82,101.2,97.84,109.24,112.84,115.08,122.08,128.85,139.99,133.09,146.4,146.76,149.96,148.1,150.9,155.17,137.58,109.42,136.3,138.7,134,146.14,146.19,146.71,151.25,147.53,150.78,143.92,159.71,166.73,167.51,163.3,180.21,183.72,194.49,198.1,201.22,184.67,193.97,196.2,194.11,198.88,184.93,183.94,171.19,169.85,177.42,163.82,134.95,163.26,172.07,188.22,217.62,212.61,221.44,208.2,216.1,214.37,227.1,240.32,239.38,236.85,232.71,218.96,229.85,225.65,235.51,243.45,255.8,249.1,252.98,261.22,251.36,266.39,266.31,264.53,235.03,213.07,238.66,282.31,265.44,263.66,287.83,284.43,301.77,313.5,322.07,322.64,306.77,286.44,307.39,304.92,306.21,311.13,250.66,260.1,300.8,301.12,301.76,298.71,289.09,300.75,301.3,294.6,292.19,272.59,262.26,243.94,283.81,320.18,338.38,337.99,325.62,320.97,312.88,286.89,152.41,53.35,19.52,12.84,4.86,-3.19,-3,-2.32,4.06,0.41,-3.64,-0.41,-0.83,1.8,9.73,10.63,7.73,4.01,-2.11,4.48,6.78,10.33,19.66,32.19,29.42,36.05,33.44,46.07,62.87,73.99,88.24,93.63,99.36,104.71,112.99,114.8,132.38,119.37,136.38,140.22,138.37,140.4,152.58,168.24,153.14,143.61,146.34,175.04,204.29,172.35,192.88
